lon,lat,weapontype,attacktype,targettype
-56.19,-34.89,1198,398,725
-1.98,43.32,3514,1451,1326
-56.19,-34.89,1137,683,725
-56.19,-34.89,1137,683,725
-123.07,44.04,1137,683,1089
-43.2,-22.91,3514,1451,1326
-95.24,38.97,1137,683,1089
-56.19,-34.89,1137,683,725
-56.19,-34.89,1137,683,725
-74.01,40.71,1137,683,725
-73.19,41.18,1482,1146,2352
-119.86,34.41,1137,683,725
-72.25,41.81,1482,1146,2104
-56.19,-34.89,1137,683,1089
-56.19,-34.89,1198,486,1713
-80.15,26.01,1482,1146,1327
-56.19,-34.89,1137,683,725
-122.31,37.55,1137,683,1327
-87.9,43.11,1137,683,2104
-5.93,54.6,1198,398,2644
32.87,39.92,1137,683,2104
-84.45,33.66,1137,683,2104
32.87,39.92,1198,398,2585
-64.18,-31.4,1198,398,725
-3.06,42.92,1137,683,3269
8.7,49.29,1198,398,725
-118.03,34.07,1137,683,1327
-80.0,35.21,1482,1146,2644
11.58,48.14,1137,683,2585
-117.72,34.1,1482,1146,2104
-119.18,34.2,1137,683,2104
-117.75,34.05,1482,1146,2352
38.3,38.36,1137,683,2104
-56.19,-34.89,3514,1451,1326
11.58,48.14,1137,683,2585
-77.03,38.89,1137,683,1326
-117.75,34.04,1482,1146,1089
-117.75,34.06,1482,1146,1089
-56.19,-34.89,1198,486,2585
32.87,39.92,1198,398,725
-117.75,34.06,1482,1146,1089
-118.35,33.78,1482,1146,1327
-122.37,37.73,1198,398,2585
11.58,48.14,1482,1146,2585
-74.01,40.71,1137,683,2104
-73.97,40.78,1137,683,2104
11.58,48.14,1137,683,1326
-74.01,40.71,1482,1146,1326
-122.37,37.73,1137,683,2585
-122.42,37.78,1137,683,1327
-81.69,41.5,1482,1146,2644
32.87,39.92,1137,683,1326
32.87,39.92,1137,683,2104
37.4,11.58,3514,1427,98
-58.39,-34.74,1198,398,725
-73.97,40.78,2077,398,2585
32.87,39.92,1482,1146,1326
32.87,39.92,1137,683,2104
-80.05,26.71,1137,683,1089
-56.19,-34.89,1198,398,1089
-56.19,-34.89,1198,398,1713
-56.19,-34.89,1198,398,1089
-5.93,54.6,1198,486,2644
-69.95,18.46,1198,398,1089
-69.95,18.46,1198,398,1713
11.58,48.14,1137,683,1327
32.87,39.92,1137,683,1327
-118.25,34.05,1137,683,1327
-64.18,-31.4,1137,683,725
27.13,38.42,1137,683,1327
27.13,38.42,1137,683,2104
-56.19,-34.89,3514,1451,725
-122.27,37.81,1137,683,2104
-80.84,35.22,1482,1146,1327
-119.7,34.42,1482,1146,2104
8.68,50.11,1137,683,1089
-5.93,54.6,1198,486,2104
-6.14,54.64,1198,486,2644
32.87,39.92,1137,683,2104
49.54,37.15,1198,398,2585
-7.49,54.45,1137,683,2104
-80.05,26.71,1137,683,1089
32.87,39.92,1137,683,2644
11.99,57.7,1198,398,1326
-81.51,41.08,1137,683,2644
-66.92,10.5,3514,1451,725
32.87,39.92,1137,683,1326
120.98,14.6,1137,683,1326
32.87,39.92,1137,683,2644
-122.03,36.97,1482,1146,2104
-84.39,33.75,1137,683,2104
-74.86,40.1,1482,1146,1327
32.87,39.92,3514,1451,2104
-5.93,54.6,1198,486,2104
-66.03,18.44,1137,683,725
-66.03,18.44,1137,683,725
-66.11,18.47,1137,683,2104
-66.11,18.47,1482,1146,725
-66.05,18.4,1482,1146,725
32.87,39.92,1137,683,2104
28.97,41.01,1137,683,1089
28.97,41.01,1137,683,2104
-84.08,9.93,3514,1451,2644
32.87,39.92,1137,683,1326
-80.22,25.83,1198,398,2585
-66.92,10.5,3514,1451,725
32.87,39.92,1482,398,1326
-118.25,34.05,1137,683,725
-5.93,54.6,1198,486,2585
-157.82,21.3,1482,1146,2104
-122.27,37.87,1137,683,725
-66.05,18.4,1137,683,1327
120.59,15.15,1137,683,725
-66.92,10.5,3514,1451,725
-118.23,34.0,1137,683,725
-77.03,38.89,1137,683,1327
-74.01,40.71,1137,683,1089
-74.01,40.71,1482,1146,1326
-119.7,34.42,1137,683,3525
-122.27,37.87,1137,683,725
