category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,19,27,0,19,9,2352,2004
3672,10,11,0,19,0,2352,2005
3672,22,32,0,13,0,2352,2006
3672,21,15,0,10,0,2352,2007
3672,60,50,3,32,0,2352,2008
3672,50,21,0,23,0,2352,2009
3672,36,37,3,30,0,2352,2010
3672,38,31,0,14,0,2352,2011
3672,42,19,1,31,1,2352,2012
3672,52,44,2,19,0,2352,2013
3672,81,92,12,77,0,2352,2014
3672,58,47,0,12,0,2352,2015
3672,1,0,0,0,0,2447,1970
3672,3,0,0,0,0,2447,1973
3672,2,0,0,0,0,2447,1975
3672,1,0,0,0,0,2447,1977
3672,1,0,0,0,0,2447,1978
3672,1,0,0,14,0,2447,1980
3672,2,8,0,6,0,2447,1984
3672,1,4,0,6,0,2447,1985
3672,1,1,0,7,0,2447,1986
3672,6,24,0,1,0,2447,1987
3672,2,0,0,0,0,2447,1989
3672,4,5,0,7,0,2447,1990
3672,2,7,0,21,0,2447,1991
3672,4,1,0,802,0,2447,1992
3672,6,85,0,100,0,2447,1994
3672,12,153,0,84,0,2447,1995
3672,13,242,6,110,0,2447,1996
3672,15,506,0,261,0,2447,1997
3672,5,32,0,88,0,2447,1998
3672,4,26,0,27,0,2447,1999
3672,7,38,0,18,0,2447,2000
3672,4,3,0,2,0,2447,2001
3672,1,49,4,0,0,2447,2002
3672,3,12,0,0,0,2447,2003
3672,5,102,3,94,0,2447,2004
3672,3,3,1,13,1,2447,2005
3672,5,33,0,30,0,2447,2006
3672,15,53,3,63,0,2447,2007
3672,21,49,1,110,0,2447,2008
3672,13,24,0,45,0,2447,2009
3672,10,22,0,45,0,2447,2010
3672,3,18,1,47,0,2447,2011
3672,21,43,1,77,0,2447,2012
3672,35,97,2,300,0,2447,2013
3672,77,148,28,251,3,2447,2014
3672,142,161,13,220,2,2447,2015
3672,81,20,1,56,1,2585,1970
3672,38,25,1,13,0,2585,1971
3672,26,26,0,4,1,2585,1972
3672,29,31,1,21,0,2585,1973
3672,41,26,0,10,4,2585,1974
3672,69,45,0,10,0,2585,1975
3672,84,117,0,40,0,2585,1976
3672,107,60,5,39,0,2585,1977
3672,222,136,2,144,5,2585,1978
3672,298,254,5,252,0,2585,1979
3672,250,518,10,392,0,2585,1980
3672,250,514,5,505,4,2585,1981
3672,224,322,36,165,1,2585,1982
3672,288,494,35,223,0,2585,1983
3672,291,696,84,391,7,2585,1984
3672,297,486,62,393,3,2585,1985
3672,284,320,55,454,3,2585,1986
3672,324,555,33,625,2,2585,1987
3672,452,754,19,643,3,2585,1988
3672,517,985,5,898,3,2585,1989
3672,514,1093,1,946,0,2585,1990
3672,528,1130,8,1195,0,2585,1991
3672,744,1343,4,1283,6,2585,1992
3672,364,622,25,650,1,2585,1994
3672,378,756,46,1285,4,2585,1995
3672,342,659,4,793,0,2585,1996
3672,291,928,1,812,0,2585,1997
3672,98,299,38,237,3,2585,1998
3672,108,300,23,272,1,2585,1999
3672,160,393,22,664,3,2585,2000
3672,258,556,89,634,12,2585,2001
3672,118,216,16,437,3,2585,2002
3672,140,286,4,763,1,2585,2003
3672,173,915,66,1522,7,2585,2004
3672,371,1327,128,2435,1,2585,2005
3672,468,1331,140,2077,68,2585,2006
3672,712,2240,335,3717,48,2585,2007
3672,473,1026,112,1816,6,2585,2008
3672,436,957,112,1076,6,2585,2009
3672,559,1001,109,1713,32,2585,2010
3672,724,1169,144,2159,67,2585,2011
3672,1701,3093,604,5141,146,2585,2012
3672,2347,4507,1190,6234,230,2585,2013
3672,2605,6112,1737,6604,617,2585,2014
3672,2095,4851,1898,5357,836,2585,2015
3672,57,24,0,22,0,2644,1970
3672,23,10,2,1,0,2644,1971
3672,141,180,5,4,0,2644,1972
3672,125,120,3,28,1,2644,1973
3672,130,197,13,77,1,2644,1974
3672,134,128,2,124,0,2644,1975
3672,155,156,2,10,0,2644,1976
3672,218,80,0,83,0,2644,1977
3672,133,77,4,209,0,2644,1978
3672,368,321,15,568,4,2644,1979
3672,413,674,1,682,1,2644,1980
3672,375,953,1,478,0,2644,1981
3672,434,1213,8,1352,1,2644,1982
3672,451,1712,14,675,1,2644,1983
3672,543,2908,8,1005,5,2644,1984
3672,353,1322,25,1386,0,2644,1985
3672,467,1108,30,972,1,2644,1986
3672,486,1638,2,912,0,2644,1987
3672,561,1792,0,1351,0,2644,1988
3672,730,2279,0,1196,0,2644,1989
